"名称","No","説明","備考","ファイル名（1枚目）","ファイル名（２枚目）","ファイル名（３枚目）","経度","緯度","分類"
"串本海中公園","241","マリンパビリオン(水族館)、海中展望塔、半潜水型海中船「ステラマリス」では、本州最大のテーブルサンゴや優雅に泳ぐ色とりどりの熱帯魚を見ることができます。敷地内にはダイビングを体験できる施設もあります。(2006.4.17)<br>","< 料金 > 入場券（水族館・海中展望台）　大人1,500円、小中学生700円、幼児200円<BR>ステラマリス乗船券　大人1,800円、小中学生900円、幼児200円<BR>お得な入場・乗船セット割引券もあります。<BR>< 時間 > 水族館・海中展望塔 9:00～16:30(入場は16：00まで）<BR>海中観光船ステラマリス 9：30～15：30（天候により欠航）<BR>< 定休日 > なし<BR>< 駐車場 > 200台(無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/241.jpg","","","135.744977999938","33.4809949999495","きのくに風景讃歌"
"潮岬灯台","243","潮岬灯台は30ｍの断崖に建つ白亜の灯台で、明治６年（1873年）の初点灯以来、100余年もの間、海上交通の要所として沖行く船を照らし続けています。68段のらせん階段を上ると、太平洋の大海原が目の前に広がります。灯台下には資料館もあります。(2006.4.17)<br><br>","< 料金 > 200円（小学生以下無料）<BR>< 時間 > 9:00～16:00<BR>< 定休日 > なし<BR>< 駐車場 > 50台（1回300円）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/243.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/243_1.jpg","","135.754302000094","33.4377269997612","きのくに風景讃歌"
"望楼の芝生","244","本州最南端の地、潮岬の先端に広がる約３万坪の望楼の芝生にはキャンプ場や、海抜100ｍ・360度見渡せる潮岬観光タワーがあります。景色を楽しみながら少し歩けば潮岬の灯台に着きます。(2006.4.17)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/244.jpg","","","135.763421000089","33.4376009998393","きのくに風景讃歌"
"潮岬観光タワー","245","本州最南端の雄大な景色を望める展望塔に入場すると「本州最南端訪問証明書」を貰えます。（大人のみ）裏面には売店で記念スタンプを押すことができます。<br>タワーの２階にあるオーシャンビューのレストランでは、近畿大学が養殖に成功した「近大本まぐろ」がいただけます。「近大本まぐろ」は全身トロとも言われ、なかなか食べることができないものです。他にもくじら丼定食など串本ならではの新鮮な食材を使った名物料理を食べることができます。（2011.4.27）","< 料金 > 大人300円、小中学生100円<BR>< 時間 > 8:30～16:30<BR>< 定休日 > なし<BR>< 駐車場 > 100台（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/245.jpg","","","135.761468000076","33.437869999791","きのくに風景讃歌"
"ウインドサーフィンのメッカ、白浜","246","北風の吹く冬の日、江津良浜から臨海浦にかけての海岸はとてもカラフル。蝉の羽のような帆が、右へ左へ、くるくるとターンしながら颯爽と海上を滑っていきます。寒そう・・・だけど、気持ちよさそう！！<br>「大阪よりも水温が高くて最高です！　毎週来ています！」とウインドサーファーに大人気。白浜のウインドサーフィンは冬の風物詩になっています。(2008.2.3)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/246.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/246_1.jpg","","135.347443000088","33.69449499983","きのくに風景讃歌"
"熊野三所神社","247","白良浜の西端の森の中に熊野三社神社があります。円月島から本覚寺を経て白良浜方面に向かう散策コースの右側に鳥居が見えます。社叢（神社の森）は県指定の天然記念物に指定されています。参道沿いには、6世紀後半に作られた横穴式石室の火雨塚（ひさめづか）古墳もあります。直径8ｍ、高さ2ｍの円墳で、紀南地方では珍しい様式の古墳です。<br>　また、境内には白浜町瀬戸出身の岡本三浪（さんろう）の句碑や、斉明天皇行幸之史跡碑などの碑文もあります。今上天皇（きんじょうてんのう：今の天皇陛下）も皇太子時代の昭和19年にこの神社に参拝されました。（2007.12.9）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/247.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/247_1.jpg","","135.342431999988","33.6850539999186","きのくに風景讃歌"
"本覚寺","248","臨海バス停から、円月島を背に15分ほど白良浜に向かって歩き、白浜漁協をすぎた辺りから左手に道を入ると本覚寺があり、別名貝寺と呼ばれています。これは、江戸時代から住職が集めた、1,000点以上の珍しい貝の数々を見ることができるからです。白浜で発見された「ホンカクジヒガイ」も寺の名からとったものです。写真の本堂の向かって右手が貝の資料館です。松瀬青々25周忌に建てられた青々の碑もあります。（2007.3.12）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/248.jpg","","","135.345211000007","33.6895309999014","きのくに風景讃歌"
"近畿大学の養殖クロマグロ","251","近畿大学水産研究所大島実験場では、2004年クロマグロの完全養殖に成功しました。1970年にマグロの養殖研究に着手して30年を超える地道な研究の成果です。そして、クロマグロの漁獲禁止が叫ばれ始めた中の2004年には養殖クロマグロを初出荷しました。<br>この近大養殖クロマグロは、潮岬観光タワーの２階レストランで食べることができます。写真の近大マグロ丼セットが1,500円。色は大トロ、味は中トロです。横の写真のマグロのカマの巨大なあらだきが500円で、巨大なのでお持ち帰り可能です。是非、潮岬に行って味わってみて下さい。（2010/7/15）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/251.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/251_1.jpg","","135.754280000094","33.4377089997611","きのくに風景讃歌"
"本州最南端の火祭り","252","毎年１月最終土曜日に開催されます。「串本黒潮太鼓」の勇壮な演奏の中、火矢によって点火され、３万坪の芝生は１時間足らずで炎に包まれます。夕闇の太平洋を背に燃える炎はあたりを幻想的な世界に変えます。串本で獲れる「とびうお」を使った名物「しょらさん鍋」がふるまわれます。(2006.4.28)<br>","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/252.jpg","","","135.76345300009","33.4375299998397","きのくに風景讃歌"
"無量寺","253","禅寺である錦江山（きんこうざん）無量寺は串本の町の狭い通りの一角にあります。(2006.4.20)<br>この無量寺は、元袋港に面して建てられていました。袋港は、その地形からたびたび津波の被害に見舞われてきました。無量寺も宝永４年（1707年）の津波で建屋が流失し、天明４年（1786年）に現在の地に再建されました。（2008.10.15）<br>","< 料金 > 大人1,000円、小中学生500円<BR>襖絵の見れない日 大人 500円、小中学生250円<BR>< 時間 > 9:30～16:30（入館は16:00まで）<BR>< 定休日 > 12/30～1/3<BR>< 駐車場 > 10台（無料)","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/253.jpg","","","135.777841000043","33.4708999998647","きのくに風景讃歌"
"応挙芦雪館","254","無量寺境内にある「応挙芦雪館（おうきょろせつかん）」には円山応挙（まるやまおうきょ）、長沢芦雪（ながさわろせつ）の作品を中心に、室町、桃山、江戸時代の絵画96点を展示しています。収蔵庫に収められている襖絵は国の重要文化財に指定されていますので、お天気の悪い日は見ることができません。(2006.4.20)","< 開館時間 > 9:30～16:30<BR>< 料金 > 本館及び方丈障壁画（digital再生画）:700円<BR>本館及び方丈障壁画及び収蔵庫（重文） :1,300円（雨天は収蔵庫の拝観はできません）<BR>中学生以下半額、20名以上の団体は２割引<BR>< 定休日 > 年中無休<BR>< 駐車場 > 無料<BR>< 電話 > 0735-62-6670<BR>< e-mail > muryouji@knd.biglobe.ne.jp","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/254.jpg","","","135.778270000052","33.4702829998557","きのくに風景讃歌"
"稲村亭","255","明治の初め串本に住む神田清右衛門は、串本町有田の稲村海岸に流れ着いた幹回り５ｍもある流木を、地元の漁師から飢饉を救ってくれたお礼として贈られました。長い間海水につかっていた木の表面はささくれたっていましたが、大鋸（おおのこ）で割ると断面は赤くベッコウ色に輝き、しかも硬い。清右衛門は浜辺に設置した大きな風呂で材木を煮て塩抜きをし、自宅の奥座敷２間を作り「稲村亭」と名づけ、ここでの隠居生活を大いに楽しんだそうです。<br>神田家ではこの流木の出所を大学の専門家に依頼して何度も調べたそうですが、結局わからなかったそうです。アメリカ西海岸のレッド・ウッド？それとも屋久島で育った大木？謎に包まれた大木で作られた稲村亭は大切に受け継がれ、今なお当時のままの姿で残されています。(2008.9.22）<br>※残念ながら現在は一般公開されていません。（2011.05.11）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/255.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/255_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/255_2.jpg","135.777841000043","33.4708999998647","きのくに風景讃歌"
"漆喰の龍","256","串本町二色の法雲寺に、しっくい（漆喰）で作られた龍のレリーフがあります。<br>この法雲寺は昭和10年に建立されたお寺ですが、向って左側面の屋根の三角の破風口に波（雲？）を蹴立てて進む見事な龍のすがたが浮彫のようにしっくいで描かれています。<br>地元の漆喰職人の作だそうです。ちなみに、串本町田並地区の海岸では、かつてサンゴの遺骸の菊目石を焼いて漆喰原料の石灰（イシバイ）が生産され、熊野灰と呼ばれたそうです。日本最古の石造り灯台として知られる樫野崎灯台官舎などにも使われました。（2008.2.16） ","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/256.jpg","","","135.770352000013","33.4870439999112","きのくに風景讃歌"
"トビウオ命のお店","257","無量寺に行くための細い路地に入る前の商店街の通りに、地元串本で獲れる新鮮な魚を売る有名店があります。社長は串本を代表する魚「トビウオ」漁に自らも出かけ、トビウオ命の社長として有名です。店には地場の様々な新鮮な魚とその新鮮な魚で作った自家製の美味しい一夜干がところ狭しと並びます。うれしいことにそれらの魚が食べられるよう隣で居酒屋を開いています。お土産に良し、その場で食べても良しの串本の味を堪能できることを請け合えるスポットの一つです。（2007.1.6)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/257.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/257_1.jpg","","135.777841000043","33.4708999998647","きのくに風景讃歌"
"橋杭岩","258","青く澄んだ海に突然現れる大小約40の奇岩。弘法大師が一夜にして作ったという伝説が残る橋杭岩（はしくいいわ）は、串本から大島に向かい約850ｍもの長さでそそり立ち、訪れる人を圧倒します。干潮時には中ほどの弁天島まで歩いて渡ることもできます。吉野熊野国立公園地域にあり、国の天然記念物に指定されています。(2006.3.31)<br>","< 駐車場 > 60台（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/258.jpg","","","135.796595000108","33.4846279999521","きのくに風景讃歌"
"橋杭岩と軍艦(昭和天皇の紀州行幸)","259","昭和４年のこと。昭和天皇は旗艦を駆逐艦「那智」とし、お召艦を巡洋艦「長門」とする艦隊を編成して、和歌山を訪問された。この写真はそのときの艦隊が串本の橋杭岩沖合いに投錨停泊している様子を写したものです。<br>博物学に造詣の深かった昭和天皇は、南方熊楠をはじめ、博物学者からご進講を受けられました。<br>熊楠はキャラメルの空き箱に入れた粘菌の標本を献上して、後の語り草となりました。また、坂口總一郎も「長門」に乗艦して紀州産の植物、魚類や貝類についてご説明申し上げ、この時の展覧標本も実に粗末な木製の標本箱に入った状態で残っています。キャラメルの空き箱といい、当時の博物学者たちは、いかに貧しさの中で研究に取り組んでいたか、また媚びるところがなかったかが伺われます。（2008.1.28）<br> ","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/259.jpg","","","135.796595000108","33.4846279999521","きのくに風景讃歌"
"弘法の湯","260","橋杭岩のすぐ北の海岸に姫区営の小さな小さな温泉が湧き出ています。家庭のお風呂の大きさしかありませんが、景色は天下一品です。地元の人との交流の場になっています。(2006.3.31)　","< 料金 > 大人400円、小人100円<BR>< 時間 > 13:30～19:30（火・木・土・日）<BR>< 定休日 > 月・水・金（ただし、４時間程度で全館貸切可能：要予約）<BR>< 駐車場 > ５台","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/260.jpg","","","135.794964000095","33.4902289999305","きのくに風景讃歌"
"稲積島とすさみ海水浴場","262","波が穏やかな、すさみ海水浴場は、平成17年７月にリニューアルされ砂浜が全長250ｍになりました。無料のトイレ・シャワー・駐車場も完備されています。<br>海岸からは、亜熱帯性植物が生い茂る稲積島（いなずみとう）をかすめて太平洋に沈む美しい夕日を見ることができます。(2006.3.31)<br>亜熱帯植物の中でも、特にオオタニワタリの自生地の北限地として昭和46年に国の天然記念物指定を受けています。大きなものでは葉の長さが１ｍに及びますが、乱獲により減少しましたが、現在ではすさみ町等で、絶滅防止と復元を図っています。<br>写真に鳥居が見えますが、大辺路王子社の一つで「山王王子社もしくは雷隅山（いなずみやま）王子社」さらに弁財天伝説もあって「稲積弁天神社」とも呼ばれている神社のものです。（2008.7.10）<br>","< 駐車場 > すさみ海水浴場（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/262.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/262_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/262_2.jpg","135.494213000124","33.5455440000069","きのくに風景讃歌"
"串本の味＆お土産","263","ケンケン漁で吊り上げた串本の美味しい鰹を、「しょらさん鰹」と呼び串本ブランドとなりました。トビウオの刺身とともに一度は味わいたいものです。橋杭岩の周辺にはアジ・サンマ・さごしなどの干物、ウツボの小明石煮、ヨシキリザメのみりん干し、キンカン、うすかわまんじゅうなどがお勧めです。(2006.3.31)<br>","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/263.jpg","","","135.792260000135","33.4863639999377","きのくに風景讃歌"
"荒船海岸","264","熊野灘沿いに奇岩怪石が３kmに渡ってダイナミックに続きます。海岸沿いの道には岩のトンネルがあり、ウバメ樫・ヤブツバキが咲き乱れる９km（所要時間約３時間）のハイキングコースがあります。釣り人にとっては絶好の磯釣り場となっています。(2006.3.31)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/264.jpg","","","135.88019400005","33.5307709999562","きのくに風景讃歌"
"木葉神社とねんねこ祭り","265","ＪＲ紀伊田原駅から２分、木葉神社の霜の降りる12月第一日曜日のお祭りです。早朝からゆっくり１日かけて行われる神事は、神功皇后の皇子愛育の故事に由来すると伝えられ、乳幼児の守り神として、近隣から大勢この祭りに参加します。(2006.3.31)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/265.jpg","","","135.868392000075","33.5369589999921","きのくに風景讃歌"
"田原の海霧","266","田原の海岸では12月～１月の早朝に「田原の海霧」とよばれる幻想的で有名な現象が発生します。放射冷却により田原川上流にたまった霧が川を下りながらその量を増して行き、暖かい海に出たところで濃くなって表出することによって生まれるものです。年に４～５回、特に素晴らしい時があり、大勢のカメラマンが何日も泊り込み、シャッターチャンスを狙うので有名なスポットです。(2006.3.31)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/266.jpg","","","135.875044000086","33.5334539999697","きのくに風景讃歌"
"古座街道","267","古座川、周参見川に沿って古座川町からすさみ町へ抜ける県道佐本深谷三尾川線約７kmが「古座街道」です。かつて熊野古道「大辺路」の海が荒れたときの避難路として使われていたと伝わるこの街道は、作家司馬遼太郎さんも好んで旅したそうで、著書「街道をゆく」シリーズにも登場しています。<br>街道沿いには、一枚岩や集落跡など、日本の原風景が残っています。(2011.4.4)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/267.jpg","","","135.821527999926","33.5187139998363","きのくに風景讃歌"
"成就寺","268","ＪＲ古座駅の裏手（北側）すぐのところに緑に包まれひっそりと成就寺があります。この寺には長沢芦雪の障壁画が残っているのが有名です。長沢芦雪は、宝暦４年（1754年） - 寛政11年６月８日（1799年７月10日）江戸時代の絵師で、円山応挙の高弟でした。天明６-７年（1786-87）、南紀に滞在した折、串本の無量寺、古座の成就寺、富田の草堂寺に計180面の障壁画を残しました。成就寺の襖絵45面は、現在和歌山市県立博物館に所蔵されています。（2008.9.13）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/268.jpg","","","135.819746999952","33.5180879998388","きのくに風景讃歌"
"重畳山","269","串本から42号線を走り、古座川手前１kmで山側へ左折、林道を４km走ると302ｍの山上に出ます。山上には弘法大師が開祖といわれる神王寺と静かに立つ88体の石仏、そしてその奥に重畳山神社があります。何よりも素晴しいのは山上からの眺望です。南には眼下に大島、それを越えて太平洋が広がり、西には潮岬から続く枯木灘が連なり、北には熊野の山々、東には熊野灘が連なります。正に、正真正銘の絶景です。ＪＲ古座駅から往復10km、４時間の絶好のハイキングコースでもあります。(2006.3.31)","< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/269.jpg","","","135.792131000067","33.5239369999221","きのくに風景讃歌"
"樹齢700年の大樟","270","大樟（くすのき）は、南国から来た木という意味の楠（くす）と同じ木です。42号線から重畳山（かさねやま）へ向かう中ほどに樹齢700年近くの大樟が二本あります。幹の周が７ｍと８ｍもあって圧倒されます。(2006.3.31)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/270.jpg","","","135.810328000072","33.5202519998256","きのくに風景讃歌"
"すさみのおいしいもの","271","すさみ（周参見）町の美味しいものは何と言っても「伊勢えび」です。すさみ町は、伊勢えびの漁獲量が日本一の町です。それなのに、なぜ「伊勢」の名前がついたのでしょう？　<br>ホテルや旅館、民宿の殆どで食べることができます。伊勢えびの他にも、ケンケンかつお・イカ・マグロ・アワビ・ウニなど海の幸の宝庫です。それから、豚と猪から生まれたイノブータン、これも是非味わってみて下さい。紀南を代表する和菓子「うすかわ饅頭」、もちろんすさみ町にもあります。役場近くの老舗の和菓子屋さんが有名です。（2008.6.28）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/271.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/271_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/271_2.jpg","135.496659000119","33.5499609999938","きのくに風景讃歌"
"ニシキトベの墓","273","この地には、神武天皇東征伝説があり、袋港の西側に「御場の鼻（おんばのはな）」と呼ばれる突き出た岩場があり（現在は突堤になっている）、神武上陸の際、ここに船を着けたといわれています。<br>また、袋港の西側の山上の森に、神武軍との戦い敗れた先住民の女酋長、ニシキトベ（丹敷戸畔）の墓といわれる石塔があります。（2008.10.20）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/273.jpg","","","135.769466000009","33.4789959999822","きのくに風景讃歌"
"袋港","274","国道42号線から熊野古道大辺路へ入るには、袋港の北、JRの線路高架をくぐって200ｍほど進むと、砂利置場の前で大辺路と合流します。そして大辺路は「くじの川」に沿って田園風景の中を進みます。<br>さて、この袋港は古式捕鯨の時代から第二次大戦前まで重要な捕鯨基地のひとつでもありました。幕末から明治初期にかけて活躍した紀州を代表する歌人で国学者の熊代繁里も、安政元年（1854年）３月、旅行中、袋浦で鯨を二頭引き揚げる場面に遭遇し、浜辺の賑わいの様子を日記に書き残しています。（熊代繁里『熊野日記』）（2008.10.15）<br>航空写真提供：国土交通省近畿地方整備局","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/274.jpg","","","135.772519000018","33.4775939999654","きのくに風景讃歌"
"澤信坊の道標地蔵","275","串本と古座の境、ＪＲ紀伊姫駅近くの国道42号線沿いに「澤信坊の道標地蔵」が立っています。このお地蔵様は、若いお母さんの乳受けの御利益があるというので、遠方からも祈願に参られます。そのお礼参りの時、地蔵さんに前だれを献納する習わしで、何十枚かの前だれが重ねられています。<br>また、このお地蔵様には次のような言い伝えがあります。８代将軍徳川吉宗の享保12年（1727年）頃のことです。太地浦の鯨舟が姫の松原に上陸して一休みした時、若者たちは、この地蔵さんを鯨に見立てて、銛を投げて突く稽古をしたのだそうです。その翌日、漁に出て銛を打ち込んだ大鯨に引きずられて、30名ほどの漁師が行方不明になってしまいました。その時、姫の地蔵さんのたたりと言うことになって、太地の人たちは新しく地蔵尊を寄進して、亡き人の冥福を祈ったそうです。その後、道路拡張などで何度も座位置をかえられ、現在の所に祠が建てられ祭られています。<br>なお、地蔵尊の前側には次のことが記されています。（2008.9.7）<br>　　右ハわかやまみち　享保十二丁未<br>　　左ハみさきみち　　願主　太地浦　澤信坊","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/275.jpg","","","135.795994000022","33.495060999897","きのくに風景讃歌"
"藤とムクロジ","276","串本町佐部（さべ）の県道（大辺路街道地蔵峠越えルートにあたる）沿いにムクロジの巨木があります。樹齢800年ともいわれ、平維盛が植えたという伝承があり、木全体にからみつくフジと合わせて串本町の天然記念物に指定されています。<br>４月下旬には木全体がフジの花に覆われます。ゴールデン・ウィークに紀南方面へ行かれる方は少し足を延ばして見に行かれたら如何でしょうか。（2008.4.24）<br>　＊無患子（むくろじ）：実がなり、石鹸に使われたと言う。果物のレイシも同じムクロジ科に属する。","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/276.jpg","","","135.856376000075","33.5502649999101","きのくに風景讃歌"
"サン・ナンタンランド","277","サン・ナンタンランドは、串本町の高台にあり、海を挟んで大島から太平洋が一望できます。各種スポーツレクリエーション施設が整い、本州最南端の温暖な気候と美しい自然を生かした総合運動公園です。「多目的グラウンド」「野球場」「雨天練習場」「テニスコート」、同じ敷地内には温水プールを備えた串本海洋サン・ナンタンランドは、串本町の高台にあり、海を挟んで大島から太平洋が一望できます。各種スポーツレクリエーション施設が整い、本州最南端の温暖な気候と美しい自然を生かした総合運動公園です。「多目的グラウンド」「野球場」「雨天練習場」「テニスコート」、同じ敷地内には温水プールを備えた串本海洋センターもあります。<br>　たっぷり汗を流したら傍にある「サンゴの湯」に入りましょう。公衆温泉浴場で、庭園つきの浴室、広間の休息室、吹き抜けのあるロビーがゆったりとしたくつろぎの空間が自慢！（2007.3.26）","< 料金 > 入浴料：400円、６歳以上12歳未満200円<BR>< 時間 > 11時～21時<BR>< 定休日 > 毎週月曜日（月曜日が祝日の時は営業、翌火曜日休業）・大晦日・元旦<BR>< 駐車場 > あり（無料 )15台","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/277.jpg","","","135.784943000058","33.4816749999785","きのくに風景讃歌"
"萬福寺","278","熊野曼荼羅画 第31番 安養山萬福寺。禅宗臨済派、京都妙心寺の末寺で、ご本尊は阿弥陀如来像です。<br>また「周参見村郷土誌」には、寛永14年（1637年）京都、高峰和尚が開基し、享保年間に火災により消失、第八世寛道和尚が、天明元年（1781年）本堂を再建しました。寛政４年（1792年）に長沢芦雪が、串本の無量寺からの帰途、障壁画16本に画す。と記載されていますが、現在は行方が知れません。東泉庵（後庵）山本家に子犬の絵が、１枚残るのみだそうですが長沢芦雪ゆかりのお寺です。(2008.6.17）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/278.jpg","","","135.496434000121","33.5475910000113","きのくに風景讃歌"
"原町の小堂","279","国道42号線に並行して大辺路は進みます。伊串&rarr;西向&rarr;原町と進んで民家の横に小堂があります。この小堂には石仏が三体納められています。中央に地蔵尊、地蔵仏は高さ1.5ｍ。享保５年（1720年）の建立です。向かって右は徳本上人の念仏塔です。上人が布教した全国各地に建てられたもので、文化10年（1813年）古座阿弥陀寺に留錫され、その後文政13年（1830年）に西向、神野川両村の念仏講の人達が建立したものです。左側には「法華塔」と記された1.5ｍの刻経塔が建っています。これらの石仏は、古から古道を行き交う人々を見守り続けてきました。（2008.9.18） ","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/279.jpg","","","135.820240999957","33.5134899998759","きのくに風景讃歌"
"串の戸石碑群","280","ＪＲ周参見駅から国道42号線に出てすぐ（駅から歩いて５分ほど）の国道沿いに９基の石碑が建っています。このあたりは半島が２ヶ所入り組んで「団子」のようになっていることから昔から「串」と呼ばれていました。<br>江戸中期に周参見下部の海岸に防潮堤を築いた「谷 三郎左衛門」の墓碑などが並んでいます。これらは国道の建設の時、旧道近くの海岸や丘陵の上にあったものを昭和46年（1971年）にこの地に移したものです。（2008.5.30）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/280.jpg","","","135.495125000097","33.5442740000321","きのくに風景讃歌"
"九龍島と鯛島","281","九龍島（くろしま）は亜熱帯植物が群生している珍しい島で、鯛の形に似た鯛島と共に、源平の戦いで勝利を収めた熊野水軍の拠点であったと伝えられています。海岸に沿って走る国道42号からもよく見えます。(2006.3.31)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/281.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/281_1.jpg","","135.82547700006","33.5042939998905","きのくに風景讃歌"
"馬転(うまころび)坂","282","境界石を過ぎて白島トンネルの上の大辺路を歩いて行きますが、本来の大辺路か旧国道か定かではありません。ところどころ、路肩に石組みが残り良好な状態の古道を歩いていきます。やがて、枯木灘を見下ろす展望台状になった頂上部に着きます。眼下には波が砕ける磯を、正面には和深崎を望むことができるのです。（2008.5.24）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/282.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/282_1.jpg","","135.507355999963","33.5355999998941","きのくに風景讃歌"
"馬転(うまころび)坂入口","283","ＪＲ周参見駅から国道42線を15分ほど歩き、大串の浜から馬転坂の登り口に入ります。熊野古道大辺路は国道42号線の工事で消滅し、生コンクリート工場の敷地奥の斜面に残る古道が馬転坂の入り口です。この古道を登っていくと、右手の斜面に口和深と周参見の境界石を見ることができます。（2008.5.24）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/283.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/283_1.jpg","","135.501872999979","33.5390699999788","きのくに風景讃歌"
"世界一深いところにある海中ポスト","284","すさみ町周参見の海中に昔おなじみだった赤い円筒型の郵便ポストが設置されています。世界一深い所にあるポストとして、2002年３月にはギネスブックに登録されました。これは、1999年に、すさみ町マリンスポーツフェスティバル実行委員会が、同年開催された「南紀熊野体験博」を記念してすさみ漁港沖約100メートル、水深10メートルのダイビングスポットに設置したものです。海中で投函（とうかん）した特製ハガキが、地元のすさみ郵便局を通じて世界中に配達されるとあって、テレビ番組でも取り上げられ、話題になりました。2005年12月には投函数２万通を超え、「するめ～る」とともに、すさみ町の大切な地域資源となっています。<br>ハガキを取り出す部分が壊れたり、台風の影響で脚がねじ曲がったりして傷むので、２年ごとにペンキを塗り直していましたが、今年新しいポストを作り、１年交替で化粧直しして使用する体制にしました。（2007.4.20）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/284.jpg","","","135.485930000123","33.5475829999368","きのくに風景讃歌"
"するめーる","285","平成12年の発売以来、次世代の通信メディア（！）として注目を集めている「するめ～る」。通常版、年賀バージョン、暑中見舞いバージョンがあります。するめを真空パックにして「はがき」のように仕立てたもので、包装を解けば食べられます。すさみ漁業協同組合、ＪＲすさみ駅、道の駅「イノブータンランド」で販売しています。(2006.6.21)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/285.jpg","","","135.495436000123","33.5468140000095","きのくに風景讃歌"
